R, bias, L, W, Gain
76919, 0.636385, 6.54444e-06, 5.41141e-06, -3.74745 
51327.9, 0.721454, 3.78537e-06, 1.51137e-06, 1.73084 
67732.7, 1.66551, 3.5195e-06, 6.7511e-06, 28.807 
75254.6, 1.39444, 6.75669e-06, 4.5042e-06, 13.644 
59115.8, 0.78821, 6.21202e-06, 1.60056e-06, 1.39127 
70328, 1.37319, 4.78214e-06, 5.02709e-06, 17.0522 
16383.2, 0.783807, 7.17382e-06, 2.33497e-06, 10.4023 
27463.2, 1.40279, 6.45669e-06, 7.11763e-06, 8.41626 
89700.5, 0.892598, 2.23853e-06, 4.32139e-06, 2.47231 
9992.24, 1.16993, 8.6515e-07, 2.53745e-06, -9.13118 
74189.7, 0.76396, 9.31567e-06, 7.44045e-06, -10.5039 
36363.9, 0.74611, 6.73457e-06, 9.86184e-06, -8.94555 
53967.3, 1.10735, 6.7226e-06, 9.24788e-07, 2.15496 
28693.5, 0.642518, 1.5612e-06, 4.14178e-06, -3.13091 
80218.7, 1.51299, 8.93968e-06, 4.20844e-06, 13.8096 
96380.5, 1.36088, 8.24954e-06, 5.78861e-06, 16.0975 
23966, 0.702533, 3.41316e-06, 9.89156e-06, -9.09546 
38631.5, 1.1003, 8.50552e-06, 5.17529e-06, -8.94904 
88204.7, 0.831175, 6.26596e-06, 9.56342e-06, -17.2133 
12212.1, 1.02119, 4.55579e-06, 7.13692e-06, -6.19591 
94735.9, 1.29011, 3.8246e-06, 7.3214e-06, 23.6026 
42824.8, 1.54196, 9.22376e-06, 7.65931e-06, 14.2997 
4442.16, 1.44611, 4.18291e-06, 2.37117e-06, 7.41044 
65711.2, 0.751652, 8.15598e-06, 3.46261e-06, -3.0586 
21019, 1.6128, 5.49801e-06, 1.44088e-06, -0.0161294 
86078.9, 1.21048, 5.64168e-06, 3.64546e-06, 8.12689 
45845, 0.66869, 2.32299e-07, 6.03057e-06, -18.1606 
26985.3, 0.612063, 6.90977e-07, 4.92534e-06, -2.9448 
79796.4, 0.812864, 4.22189e-06, 1.18627e-06, -2.03115 
34467.2, 0.874705, 5.80475e-06, 1.57153e-06, 3.42313 
76616.7, 1.13002, 4.91683e-07, 6.47374e-06, 31.4374 
46429.2, 1.09599, 6.3995e-07, 4.36346e-06, 19.5713 
99937.9, 1.58658, 8.3149e-06, 9.85921e-06, 26.7996 
52322.4, 1.65371, 2.52638e-06, 3.7946e-06, 23.4322 
77469.4, 0.794562, 6.64546e-06, 7.81339e-06, -15.0729 
83192.3, 0.777996, 6.82167e-06, 4.25939e-06, -9.47613 
42462.6, 1.35975, 7.09524e-06, 4.69985e-06, 5.46857 
84083.9, 0.889648, 1.25192e-06, 5.71251e-06, 11.9501 
10521.6, 1.29713, 2.25486e-06, 5.9058e-06, 1.24768 
23227.8, 1.06007, 4.54202e-06, 4.6067e-06, -8.26263 
56788.8, 1.15908, 6.51322e-06, 9.65215e-06, 11.869 
50759.8, 1.38328, 5.71029e-06, 4.98747e-06, 11.9678 
82193.5, 0.87588, 7.94386e-06, 9.42262e-06, -16.4255 
92087.1, 0.625696, 3.5367e-06, 3.77455e-06, -5.20779 
5476.45, 0.976336, 8.31755e-07, 1.36896e-07, -5.20779 
460.632, 1.4511, 6.76677e-06, 4.12019e-06, 26.0343 
95395.4, 1.01441, 8.28272e-06, 2.35513e-06, -8.61565 
34685.5, 0.912237, 9.83834e-06, 6.24932e-06, -5.60116 
32075, 1.64492, 8.99191e-06, 1.73702e-06, -1.44494 
91015.7, 0.892867, 9.23783e-06, 5.19579e-06, -12.3277 
6496.27, 0.95049, 8.61576e-06, 6.64388e-06, 6.48511 
99258.6, 1.08518, 7.19766e-06, 9.73082e-06, 14.1322 
98828.8, 1.00447, 7.32363e-06, 1.48514e-06, -5.48576 
59667.9, 0.836994, 4.96372e-06, 5.11639e-06, -12.5848 
80964.9, 1.37047, 3.34031e-06, 5.58704e-06, 22.7647 
69016.1, 1.42985, 9.41307e-06, 1.40633e-06, -4.32604 
76005.5, 1.63529, 8.72518e-06, 2.19142e-06, 9.13461 
52203.6, 0.943129, 3.36525e-06, 1.96269e-06, -8.20745 
58626.8, 1.05814, 1.95318e-06, 9.87872e-06, 20.2516 
85123.7, 1.36951, 4.34156e-06, 3.39408e-06, 15.4384 
47721.8, 1.69871, 5.03199e-06, 9.19756e-06, 26.018 
66261.1, 0.666558, 5.41503e-06, 2.93298e-06, -0.374653 
35352.8, 0.974714, 2.84707e-06, 3.96862e-06, -12.8654 
22660.6, 0.681478, 1.44289e-06, 4.66758e-06, -6.33493 
22402.9, 1.15851, 2.48733e-06, 6.27496e-06, 5.66577 
33123.7, 1.20008, 3.56672e-06, 8.1374e-06, 11.8429 
3979.14, 1.49037, 1.79217e-07, 1.6071e-06, 3.44732 
86947.7, 1.31931, 3.57484e-06, 4.99949e-06, 20.3762 
40790.8, 1.0572, 6.87552e-06, 4.45545e-06, -9.27298 
32332.7, 0.832904, 9.21742e-06, 3.43703e-06, 1.73725 
79042, 0.819713, 9.30619e-06, 4.43302e-06, -7.96384 
24401.2, 0.85892, 2.78878e-06, 4.02964e-06, -8.10715 
79894.7, 1.6974, 6.93171e-06, 2.61674e-06, 15.3507 
94417.1, 0.930088, 4.8951e-06, 1.40177e-06, -6.60678 
26821.3, 1.35661, 6.96156e-07, 4.80742e-06, 23.6838 
98614.1, 1.59689, 3.68067e-06, 7.0989e-06, 30.9545 
29185.9, 0.656536, 2.95363e-06, 3.54118e-06, 1.03123 
26184.3, 1.4308, 6.55093e-06, 4.15483e-06, 0.068925 
