R, bias, L, W, Gain [dB], UGF [Hz], PM [degrees]
19164.1,1.23949,9.7047e-06,8.49126e-06,7.72498, 1.89169e+07, 106.334
56130.8,0.824787,2.38827e-06,7.43873e-06,10.9057, 2.61099e+07, 103.929
9964.47,1.31647,7.10126e-06,6.16087e-06,2.73525, 1.50781e+07, 133.304
23121.4,0.926321,7.89349e-06,5.38425e-06,2.87764, 6.71208e+06, 135.907
57454.3,1.23221,5.93949e-06,7.04262e-06,error, error, error
10323.2,1.05224,7.53685e-07,4.19859e-06,11.8282, 7.66845e+07, 104.543
29225.6,0.733287,3.71017e-07,6.83552e-06,21.8625, 7.82251e+07, 94.3072
56015.7,0.615063,9.00125e-06,9.12595e-06,1.20524, 1.5803e+06, 158.112
35626.1,1.05189,1.43091e-06,8.19567e-06,error, error, error
46976.4,0.797306,1.90793e-06,2.28735e-06,9.90848, 1.02053e+07, 108.498
55198.2,0.744175,8.58286e-07,1.36802e-06,9.72464, 8.51124e+06, 110.008
58250.7,0.718743,5.55279e-06,8.92224e-06,12.6023, 1.14872e+07, 99.0589
9964.47,1.19717,7.11375e-06,6.31786e-06,1.80156, 1.15225e+07, 142.499
20802.4,0.706304,5.72494e-06,5.13077e-06,error, error, error
22758.5,0.924335,2.35437e-06,5.35391e-06,12.7015, 3.02774e+07, 102.058
8703.22,0.940204,5.08749e-06,9.85547e-06,3.82991, 2.19042e+07, 126.785
56836.2,1.07882,8.4136e-07,9.93073e-06,error, error, error
44236.6,0.613812,1.77359e-06,2.15031e-06,error, error, error
17581.4,0.852114,1.37873e-06,5.75401e-06,13.8866, 4.5283e+07, 100.8
59291.9,0.922665,9.5561e-06,1.487e-06,error, error, error
25786.1,0.721951,3.15638e-06,5.0709e-06,5.27466, 9.55242e+06, 123.156
75012,0.923522,7.37998e-06,4.65121e-06,12.1389, 8.448e+06, 101.362
54547.1,1.03964,9.55488e-06,8.18046e-06,9.85994, 1.25404e+07, 99.3348
16181,1.11253,3.54994e-06,8.37257e-06,6.62795, 3.31284e+07, 113.838
81404.3,1.05189,4.10457e-06,2.26197e-06,12.1425, 8.653e+06, 104.327
56015.7,0.617006,9.87141e-07,9.93692e-06,16.2673, 1.8726e+07, 98.2131
57385.2,1.27536,2.45563e-06,1.15438e-06,4.09299, 6.17097e+06, 129.03
17296.9,1.3173,6.00997e-06,6.15638e-06,5.97935, 1.99636e+07, 117.111
17744.7,0.736206,1.53923e-06,5.13077e-06,8.27118, 2.16789e+07, 112.532
29373.6,1.11571,3.86067e-06,7.95365e-06,error, error, error
62555.2,0.966196,3.52454e-06,8.16364e-06,error, error, error
9787.81,1.20048,7.02757e-06,6.16087e-06,1.55825, 1.07442e+07, 145.803
53228.2,0.922665,9.10168e-06,8.95293e-06,13.2487, 1.37588e+07, 94.3697
94151.5,0.824697,9.04851e-06,6.9897e-06,13.9741, 8.44993e+06, 95.4282
54332.7,0.745014,3.16888e-07,8.32803e-06,2.24388, 3.7664e+07, 140.706
41937.3,1.21181,9.3766e-06,1.2451e-06,error, error, error
56928.9,1.12824,3.52363e-06,8.21862e-07,3.03806, 2.83427e+06, 144.44
24035.1,1.00553,8.66005e-06,2.74264e-06,error, error, error
24848.5,0.88839,7.5392e-06,8.32345e-06,7.05661, 1.30829e+07, 109.877
30194.6,1.23769,9.34137e-06,3.66911e-06,4.53915, 7.21216e+06, 123.887
66100.5,0.920203,9.589e-06,9.0814e-06,14.6659, 1.32395e+07, 90.8513
55217.6,0.630367,5.99531e-06,8.5291e-06,5.22764, 4.43988e+06, 121.907
24063.2,0.712201,2.05082e-06,8.34134e-06,12.1373, 2.63149e+07, 102.659
24846.1,1.21539,6.25656e-06,8.22238e-06,error, error, error
17715.1,1.11431,3.43944e-06,6.55741e-06,10.1825, 3.32255e+07, 105.322
55842.6,1.27325,2.46217e-06,4.60449e-06,error, error, error
55421.4,1.31467,8.93137e-06,8.92224e-06,error, error, error
