R, bias, L, W, Gain
20325.3, 1.56867, 1.68929e-06, 8.29519e-06, -15.0558 
93862.8, 0.977148, 7.455e-06, 2.97352e-06, 7.4912 
17651.8, 0.97201, 1.53659e-05, 1.65293e-05, 10.0997 
86234.5, 1.93344, 4.35215e-06, 6.17558e-06, 5.00898 
72600.1, 3.80481, 5.48242e-06, 1.87552e-05, 34.6497 
85844, 2.90668, 2.75279e-06, 7.72184e-06, 27.9633 
28850, 1.38798, 5.39193e-06, 4.06853e-06, -0.500179 
26166, 3.81646, 1.23447e-05, 6.13749e-06, 4.25157 
75977.4, 3.15815, 1.54307e-05, 1.84846e-05, 20.7057 
3704.98, 3.16226, 1.35571e-05, 8.10185e-06, 9.07179 
60411.6, 3.53295, 1.12911e-05, 1.30169e-05, 21.0026 
57995.8, 3.88164, 1.03192e-05, 1.43017e-05, 24.7255 
28515.7, 3.59561, 1.55952e-05, 1.44292e-05, 11.4753 
87730.2, 1.69823, 1.89458e-05, 1.50821e-05, -14.7629 
79863.8, 3.15075, 1.20721e-05, 4.90299e-06, 8.66788 
27889.2, 2.77391, 1.41425e-05, 2.46915e-06, 3.94277 
80960.9, 3.29152, 4.33401e-06, 5.33933e-06, 22.4313 
740.972, 0.909241, 3.06575e-06, 1.7521e-05, 25.7617 
99188.8, 1.64415, 1.87556e-06, 1.63284e-05, 23.4182 
83777.2, 3.17757, 6.24316e-06, 1.57509e-05, 28.8735 
88405.5, 2.82015, 1.4507e-05, 1.38738e-05, 16.6722 
17137.4, 2.59606, 2.58348e-06, 7.97649e-06, 6.34675 
29563.8, 0.921301, 1.0321e-05, 6.11056e-06, 15.7045 
11951.9, 3.37077, 1.67162e-05, 1.47254e-05, -5.15256 
63597.1, 3.0029, 1.44823e-05, 5.40929e-06, 1.35188 
52614.6, 3.83597, 5.99793e-06, 1.72394e-05, 30.3284 
35474.3, 1.84529, 1.64711e-05, 5.87787e-06, -0.685466 
65729.4, 2.52523, 9.61643e-06, 1.71257e-05, 16.7064 
95959.1, 3.30227, 7.91621e-06, 9.29456e-06, 23.8383 
2201.67, 0.867743, 5.20957e-06, 1.28318e-05, 29.1554 
30425.4, 1.11703, 3.48265e-06, 3.64494e-06, 1.46822 
7375.52, 0.80712, 1.48e-05, 9.23398e-06, 47.6775 
73255.3, 1.42048, 1.45923e-05, 1.91479e-05, -14.7482 
13648.2, 1.11105, 1.36e-05, 3.00609e-06, 23.0997 
97131.9, 1.04855, 5.12808e-06, 1.11895e-05, -14.1106 
11363.8, 2.30003, 1.22771e-06, 1.11871e-05, 11.2435 
7292.73, 3.73456, 1.49231e-06, 8.489e-06, 15.8305 
68493.5, 2.06534, 4.81996e-06, 3.53191e-06, -12.8209 
61937.9, 1.26169, 1.42038e-05, 1.30251e-05, -7.71605 
81074.8, 1.33848, 2.65119e-06, 5.39934e-06, -17.4801 
59417.6, 2.79639, 4.51549e-06, 1.74362e-05, 26.451 
98490.7, 0.783817, 6.84651e-06, 1.88194e-05, 13.3997 
93475.6, 2.18638, 1.84517e-05, 7.20938e-06, -11.9987 
48093.2, 0.983003, 3.83027e-06, 6.59905e-06, -2.8832 
80328.1, 1.91925, 3.40778e-06, 1.24571e-05, 17.297 
68585.3, 3.25572, 7.96727e-06, 4.0799e-06, 10.5771 
49511.4, 3.95236, 8.00488e-06, 1.66255e-05, 27.458 
5962.31, 2.77945, 1.60785e-05, 9.32537e-06, 6.09055 
79274.7, 2.71247, 1.13121e-05, 3.6192e-06, -10.2343 
64628.9, 3.76918, 4.46128e-06, 1.50041e-05, 33.2724 
89311.5, 2.86433, 9.51057e-06, 1.97177e-05, 24.9489 
23956.2, 1.38348, 1.06087e-05, 6.6446e-06, 2.32429 
7591.74, 1.52101, 1.88684e-05, 9.00087e-06, 12.7715 
4340.52, 1.63169, 1.04002e-05, 1.222e-05, 8.68101 
9616.49, 1.07823, 7.83615e-06, 1.30246e-05, 7.42405 
96294, 2.68722, 1.28623e-05, 1.71782e-05, 19.5933 
32575.1, 1.16459, 1.46788e-05, 9.11564e-06, 3.41813 
32742.1, 1.70395, 1.48066e-05, 9.34205e-06, -4.05679 
56982.4, 3.58628, 1.18507e-05, 4.24332e-06, 7.42154 
35994.4, 1.29993, 1.26624e-05, 1.94223e-05, -8.24356 
1934.9, 3.28906, 9.62245e-06, 1.22846e-05, 8.05617 
57618.6, 2.90791, 1.89736e-05, 7.91582e-06, 0.163849 
6491.03, 1.5131, 1.57667e-05, 1.04265e-05, 11.3349 
33696.7, 2.2455, 1.56745e-05, 1.79611e-05, -12.9191 
54633.9, 3.74447, 1.12189e-05, 8.31059e-06, 17.0506 
97707.9, 1.61736, 2.77946e-06, 1.71617e-05, 18.6213 
87380, 3.16387, 1.99645e-05, 1.25137e-05, 15.5513 
45096, 2.51684, 8.28171e-06, 1.72778e-05, 14.1531 
70463.9, 3.16705, 1.76151e-05, 1.54544e-05, 16.8796 
73119.5, 1.65295, 1.03279e-05, 7.34614e-06, -11.4364 
60450.9, 1.15279, 8.61901e-06, 3.44826e-06, 3.35179 
8587.55, 1.84242, 1.46215e-05, 1.67931e-05, 1.15796 
34637.2, 3.65206, 2.12232e-06, 7.34803e-06, 27.1081 
30351.1, 0.992186, 1.77485e-05, 1.65765e-05, 5.66289 
5250.62, 1.87975, 1.40698e-05, 1.09065e-05, 8.70728 
60110.2, 3.24847, 2.26402e-06, 7.94456e-06, 29.6457 
34974.4, 3.96625, 1.02567e-05, 4.74946e-06, 8.31478 
73096.3, 2.47735, 1.98707e-05, 9.04e-06, -6.54297 
39274.2, 2.17075, 5.36839e-06, 1.96963e-05, 13.7972 
52375.3, 1.33042, 1.65589e-05, 1.06838e-05, -4.24784 
54124.6, 1.18559, 1.80765e-05, 1.2921e-05, -2.88622 
96527.3, 3.92158, 9.93793e-06, 8.38555e-06, 25.0201 
78414.1, 3.82312, 8.04757e-06, 1.23414e-05, 28.0865 
87147.5, 2.2668, 1.52453e-05, 1.18524e-05, 5.13336 
1577.96, 3.89828, 7.2996e-06, 8.67177e-06, 9.86261 
16665.4, 3.54129, 1.48115e-05, 5.96807e-06, -1.30723 
77829, 3.09435, 1.17355e-05, 6.67879e-06, 12.1532 
74062, 3.75236, 9.06473e-06, 1.88397e-05, 29.9312 
11462.4, 3.82687, 1.4403e-05, 1.98481e-05, 7.61411 
994.405, 2.09479, 7.08683e-06, 9.79387e-06, 17.2331 
90667.6, 1.08135, 9.96976e-06, 1.67562e-05, -12.3296 
66150.5, 1.42437, 1.88788e-05, 1.91399e-05, -11.6992 
53690.7, 1.94521, 7.43102e-06, 8.09307e-06, -14.3323 
83494.6, 2.26589, 1.82078e-05, 5.03639e-06, -8.23928 
